Indicator,Year,Geography,Cases,Rate per 100000,Population
HIV diagnoses,2010,Ohio,988,10.3,"9,610,755"
HIV deaths,2010,Ohio,289,3,"9,610,755"
HIV prevalence,2010,Ohio,"16,997",176.9,"9,610,755"
AIDS diagnoses,2010,Ohio,598,6.2,"9,610,755"
AIDS deaths,2010,Ohio,219,2.3,"9,610,755"
AIDS prevalence,2010,Ohio,"8,347",86.9,"9,610,755"
Estimated HIV incidence,2010,Ohio,950,9.8,"9,610,755"
Estimated HIV prevalence (undiagnosed and diagnosed),2010,Ohio,"21,000",218.2,"9,610,755"
HIV diagnoses,2016,Georgia,"2,480",29.1,"8,524,191"
HIV deaths,2016,Georgia,772,9.1,"8,524,191"
HIV prevalence,2016,Georgia,"51,350",602.4,"8,524,191"
AIDS diagnoses,2016,Georgia,"1,104",13,"8,524,191"
AIDS deaths,2016,Georgia,611,7.2,"8,524,191"
AIDS prevalence,2016,Georgia,"26,209",307.5,"8,524,191"
Estimated HIV incidence,2016,Georgia,"2,500",29.1,"8,524,191"
Estimated HIV prevalence (undiagnosed and diagnosed),2016,Georgia,"61,000",715,"8,524,191"
HIV diagnoses,2016,North Carolina,"1,392",16.3,"8,520,819"
HIV deaths,2016,North Carolina,493,5.8,"8,520,819"
HIV prevalence,2016,North Carolina,"30,310",355.7,"8,520,819"
AIDS diagnoses,2016,North Carolina,598,7,"8,520,819"
AIDS deaths,2016,North Carolina,362,4.2,"8,520,819"
AIDS prevalence,2016,North Carolina,"13,563",159.2,"8,520,819"
Estimated HIV incidence,2016,North Carolina,"1,400",16.1,"8,520,819"
Estimated HIV prevalence (undiagnosed and diagnosed),2016,North Carolina,"35,100",412.5,"8,520,819"
HIV diagnoses,2015,Georgia,"2,623",31.2,"8,413,989"
HIV deaths,2015,Georgia,835,9.9,"8,413,989"
HIV prevalence,2015,Georgia,"49,651",590.1,"8,413,989"
AIDS diagnoses,2015,Georgia,"1,194",14.2,"8,413,989"
AIDS deaths,2015,Georgia,657,7.8,"8,413,989"
AIDS prevalence,2015,Georgia,"25,768",306.3,"8,413,989"
Estimated HIV incidence,2015,Georgia,"2,400",28.8,"8,413,989"
Estimated HIV prevalence (undiagnosed and diagnosed),2015,Georgia,"59,200",704.1,"8,413,989"
HIV diagnoses,2015,North Carolina,"1,325",15.8,"8,409,656"
HIV deaths,2015,North Carolina,559,6.6,"8,409,656"
HIV prevalence,2015,North Carolina,"29,350",349,"8,409,656"
AIDS diagnoses,2015,North Carolina,724,8.6,"8,409,656"
AIDS deaths,2015,North Carolina,405,4.8,"8,409,656"
AIDS prevalence,2015,North Carolina,"13,307",158.2,"8,409,656"
Estimated HIV incidence,2015,North Carolina,"1,300",15,"8,409,656"
Estimated HIV prevalence (undiagnosed and diagnosed),2015,North Carolina,"34,300",407.4,"8,409,656"
HIV diagnoses,2016,Michigan,745,8.9,"8,395,134"
HIV deaths,2016,Michigan,244,2.9,"8,395,134"
HIV prevalence,2016,Michigan,"15,422",183.7,"8,395,134"
AIDS diagnoses,2016,Michigan,378,4.5,"8,395,134"
AIDS deaths,2016,Michigan,190,2.3,"8,395,134"
AIDS prevalence,2016,Michigan,"8,022",95.6,"8,395,134"
Estimated HIV incidence,2016,Michigan,660,7.9,"8,395,134"
Estimated HIV prevalence (undiagnosed and diagnosed),2016,Michigan,"18,500",219.9,"8,395,134"
HIV diagnoses,2015,Michigan,726,8.7,"8,371,987"
HIV deaths,2015,Michigan,301,3.6,"8,371,987"
HIV prevalence,2015,Michigan,"14,484",173,"8,371,987"
AIDS diagnoses,2015,Michigan,354,4.2,"8,371,987"
AIDS deaths,2015,Michigan,240,2.9,"8,371,987"
AIDS prevalence,2015,Michigan,"7,610",90.9,"8,371,987"
Estimated HIV incidence,2015,Michigan,780,9.4,"8,371,987"
Estimated HIV prevalence (undiagnosed and diagnosed),2015,Michigan,"18,000",215.5,"8,371,987"
HIV diagnoses,2014,Michigan,783,9.4,"8,356,633"
HIV deaths,2014,Michigan,289,3.5,"8,356,633"
HIV prevalence,2014,Michigan,"14,673",175.6,"8,356,633"
AIDS diagnoses,2014,Michigan,361,4.3,"8,356,633"
AIDS deaths,2014,Michigan,220,2.6,"8,356,633"
AIDS prevalence,2014,Michigan,"7,780",93.1,"8,356,633"
Estimated HIV incidence,2014,Michigan,780,9.3,"8,356,633"
Estimated HIV prevalence (undiagnosed and diagnosed),2014,Michigan,"17,600",210.2,"8,356,633"
HIV diagnoses,2013,Michigan,752,9,"8,326,436"
HIV deaths,2013,Michigan,280,3.4,"8,326,436"
HIV prevalence,2013,Michigan,"14,665",176.1,"8,326,436"
AIDS diagnoses,2013,Michigan,466,5.6,"8,326,436"
AIDS deaths,2013,Michigan,229,2.8,"8,326,436"
AIDS prevalence,2013,Michigan,"7,803",93.7,"8,326,436"
Estimated HIV incidence,2013,Michigan,700,8.4,"8,326,436"
Estimated HIV prevalence (undiagnosed and diagnosed),2013,Michigan,"17,100",205,"8,326,436"
HIV diagnoses,2014,North Carolina,"1,314",15.8,"8,307,320"
HIV deaths,2014,North Carolina,548,6.6,"8,307,320"
HIV prevalence,2014,North Carolina,"28,395",341.8,"8,307,320"
AIDS diagnoses,2014,North Carolina,692,8.3,"8,307,320"
AIDS deaths,2014,North Carolina,400,4.8,"8,307,320"
AIDS prevalence,2014,North Carolina,"12,863",154.8,"8,307,320"
Estimated HIV incidence,2014,North Carolina,"1,300",15.3,"8,307,320"
Estimated HIV prevalence (undiagnosed and diagnosed),2014,North Carolina,"33,600",404,"8,307,320"
HIV diagnoses,2014,Georgia,"2,381",28.7,"8,301,850"
HIV deaths,2014,Georgia,937,11.3,"8,301,850"
HIV prevalence,2014,Georgia,"47,674",574.3,"8,301,850"
AIDS diagnoses,2014,Georgia,"1,194",14.4,"8,301,850"
AIDS deaths,2014,Georgia,747,9,"8,301,850"
AIDS prevalence,2014,Georgia,"25,250",304.1,"8,301,850"
Estimated HIV incidence,2014,Georgia,"2,300",27.6,"8,301,850"
Estimated HIV prevalence (undiagnosed and diagnosed),2014,Georgia,"57,600",694.4,"8,301,850"
HIV diagnoses,2012,Michigan,793,9.6,"8,296,616"
HIV deaths,2012,Michigan,339,4.1,"8,296,616"
HIV prevalence,2012,Michigan,"14,281",172.1,"8,296,616"
AIDS diagnoses,2012,Michigan,441,5.3,"8,296,616"
AIDS deaths,2012,Michigan,273,3.3,"8,296,616"
AIDS prevalence,2012,Michigan,"7,621",91.9,"8,296,616"
Estimated HIV incidence,2012,Michigan,760,9.2,"8,296,616"
Estimated HIV prevalence (undiagnosed and diagnosed),2012,Michigan,"16,700",200.7,"8,296,616"
HIV diagnoses,2011,Michigan,771,9.3,"8,267,086"
HIV deaths,2011,Michigan,306,3.7,"8,267,086"
HIV prevalence,2011,Michigan,"13,795",166.9,"8,267,086"
AIDS diagnoses,2011,Michigan,469,5.7,"8,267,086"
AIDS deaths,2011,Michigan,243,2.9,"8,267,086"
AIDS prevalence,2011,Michigan,"7,461",90.2,"8,267,086"
Estimated HIV incidence,2011,Michigan,760,9.1,"8,267,086"
Estimated HIV prevalence (undiagnosed and diagnosed),2011,Michigan,"16,200",196.3,"8,267,086"
HIV diagnoses,2010,Michigan,767,9.3,"8,246,806"
HIV deaths,2010,Michigan,316,3.8,"8,246,806"
HIV prevalence,2010,Michigan,"13,419",162.7,"8,246,806"
AIDS diagnoses,2010,Michigan,521,6.3,"8,246,806"
AIDS deaths,2010,Michigan,255,3.1,"8,246,806"
AIDS prevalence,2010,Michigan,"7,269",88.1,"8,246,806"
Estimated HIV incidence,2010,Michigan,700,8.5,"8,246,806"
Estimated HIV prevalence (undiagnosed and diagnosed),2010,Michigan,"15,800",191.3,"8,246,806"
HIV diagnoses,2013,North Carolina,"1,284",15.6,"8,209,351"
HIV deaths,2013,North Carolina,533,6.5,"8,209,351"
HIV prevalence,2013,North Carolina,"27,368",333.4,"8,209,351"
AIDS diagnoses,2013,North Carolina,845,10.3,"8,209,351"
AIDS deaths,2013,North Carolina,394,4.8,"8,209,351"
AIDS prevalence,2013,North Carolina,"12,373",150.7,"8,209,351"
Estimated HIV incidence,2013,North Carolina,"1,300",16.1,"8,209,351"
Estimated HIV prevalence (undiagnosed and diagnosed),2013,North Carolina,"32,800",400,"8,209,351"
HIV diagnoses,2013,Georgia,"2,339",28.5,"8,195,953"
HIV deaths,2013,Georgia,847,10.3,"8,195,953"
HIV prevalence,2013,Georgia,"47,751",582.6,"8,195,953"
AIDS diagnoses,2013,Georgia,"1,488",18.2,"8,195,953"
AIDS deaths,2013,Georgia,657,8,"8,195,953"
AIDS prevalence,2013,Georgia,"25,882",315.8,"8,195,953"
Estimated HIV incidence,2013,Georgia,"2,300",27.7,"8,195,953"
Estimated HIV prevalence (undiagnosed and diagnosed),2013,Georgia,"56,300",686.8,"8,195,953"
HIV diagnoses,2012,Georgia,"2,660",32.8,"8,115,382"
HIV deaths,2012,Georgia,843,10.4,"8,115,382"
HIV prevalence,2012,Georgia,"44,131",543.8,"8,115,382"
AIDS diagnoses,2012,Georgia,"1,653",20.4,"8,115,382"
AIDS deaths,2012,Georgia,674,8.3,"8,115,382"
AIDS prevalence,2012,Georgia,"23,774",292.9,"8,115,382"
Estimated HIV incidence,2012,Georgia,"2,500",30.9,"8,115,382"
Estimated HIV prevalence (undiagnosed and diagnosed),2012,Georgia,"54,900",676,"8,115,382"
HIV diagnoses,2012,North Carolina,"1,233",15.2,"8,106,778"
HIV deaths,2012,North Carolina,527,6.5,"8,106,778"
HIV prevalence,2012,North Carolina,"26,571",327.8,"8,106,778"
AIDS diagnoses,2012,North Carolina,779,9.6,"8,106,778"
AIDS deaths,2012,North Carolina,366,4.5,"8,106,778"
AIDS prevalence,2012,North Carolina,"11,872",146.4,"8,106,778"
Estimated HIV incidence,2012,North Carolina,"1,400",17,"8,106,778"
Estimated HIV prevalence (undiagnosed and diagnosed),2012,North Carolina,"32,000",395.2,"8,106,778"
HIV diagnoses,2011,Georgia,"2,720",34,"8,010,898"
HIV deaths,2011,Georgia,825,10.3,"8,010,898"
HIV prevalence,2011,Georgia,"41,983",524.1,"8,010,898"
AIDS diagnoses,2011,Georgia,"1,666",20.8,"8,010,898"
AIDS deaths,2011,Georgia,665,8.3,"8,010,898"
AIDS prevalence,2011,Georgia,"22,614",282.3,"8,010,898"
Estimated HIV incidence,2011,Georgia,"2,400",30.4,"8,010,898"
Estimated HIV prevalence (undiagnosed and diagnosed),2011,Georgia,"53,200",664,"8,010,898"
HIV diagnoses,2011,North Carolina,"1,443",18,"8,010,271"
HIV deaths,2011,North Carolina,544,6.8,"8,010,271"
HIV prevalence,2011,North Carolina,"25,310",316,"8,010,271"
AIDS diagnoses,2011,North Carolina,806,10.1,"8,010,271"
AIDS deaths,2011,North Carolina,373,4.7,"8,010,271"
AIDS prevalence,2011,North Carolina,"11,078",138.3,"8,010,271"
Estimated HIV incidence,2011,North Carolina,"1,400",17.7,"8,010,271"
Estimated HIV prevalence (undiagnosed and diagnosed),2011,North Carolina,"31,200",389.3,"8,010,271"
HIV diagnoses,2010,North Carolina,"1,444",18.2,"7,922,882"
HIV deaths,2010,North Carolina,586,7.4,"7,922,882"
HIV prevalence,2010,North Carolina,"24,429",308.3,"7,922,882"
AIDS diagnoses,2010,North Carolina,798,10.1,"7,922,882"
AIDS deaths,2010,North Carolina,421,5.3,"7,922,882"
AIDS prevalence,2010,North Carolina,"10,618",134,"7,922,882"
Estimated HIV incidence,2010,North Carolina,"1,500",18.4,"7,922,882"
Estimated HIV prevalence (undiagnosed and diagnosed),2010,North Carolina,"30,300",382.5,"7,922,882"
HIV diagnoses,2010,Georgia,"2,682",33.9,"7,913,606"
HIV deaths,2010,Georgia,916,11.6,"7,913,606"
HIV prevalence,2010,Georgia,"40,618",513.3,"7,913,606"
AIDS diagnoses,2010,Georgia,"1,620",20.5,"7,913,606"
AIDS deaths,2010,Georgia,744,9.4,"7,913,606"
AIDS prevalence,2010,Georgia,"21,993",277.9,"7,913,606"
Estimated HIV incidence,2010,Georgia,"2,500",32.1,"7,913,606"
Estimated HIV prevalence (undiagnosed and diagnosed),2010,Georgia,"51,600",651.8,"7,913,606"
HIV diagnoses,2016,New Jersey,"1,161",15.3,"7,571,409"
HIV deaths,2016,New Jersey,646,8.5,"7,571,409"
HIV prevalence,2016,New Jersey,"35,452",468.2,"7,571,409"
AIDS diagnoses,2016,New Jersey,527,7,"7,571,409"
AIDS deaths,2016,New Jersey,475,6.3,"7,571,409"
AIDS prevalence,2016,New Jersey,"18,380",242.8,"7,571,409"
Estimated HIV incidence,2016,New Jersey,"1,000",13.6,"7,571,409"
Estimated HIV prevalence (undiagnosed and diagnosed),2016,New Jersey,"38,700",511.4,"7,571,409"
HIV diagnoses,2015,New Jersey,"1,175",15.6,"7,544,822"
HIV deaths,2015,New Jersey,652,8.6,"7,544,822"
HIV prevalence,2015,New Jersey,"35,463",470,"7,544,822"
AIDS diagnoses,2015,New Jersey,639,8.5,"7,544,822"
AIDS deaths,2015,New Jersey,524,6.9,"7,544,822"
AIDS prevalence,2015,New Jersey,"18,695",247.8,"7,544,822"
Estimated HIV incidence,2015,New Jersey,950,12.6,"7,544,822"
Estimated HIV prevalence (undiagnosed and diagnosed),2015,New Jersey,"38,300",508,"7,544,822"
HIV diagnoses,2014,New Jersey,"1,234",16.4,"7,519,847"
HIV deaths,2014,New Jersey,666,8.9,"7,519,847"
HIV prevalence,2014,New Jersey,"35,384",470.5,"7,519,847"
AIDS diagnoses,2014,New Jersey,696,9.3,"7,519,847"
AIDS deaths,2014,New Jersey,514,6.8,"7,519,847"
AIDS prevalence,2014,New Jersey,"18,824",250.3,"7,519,847"
Estimated HIV incidence,2014,New Jersey,"1,100",15,"7,519,847"
Estimated HIV prevalence (undiagnosed and diagnosed),2014,New Jersey,"38,000",505.6,"7,519,847"
HIV diagnoses,2013,New Jersey,"1,193",15.9,"7,483,180"
HIV deaths,2013,New Jersey,740,9.9,"7,483,180"
HIV prevalence,2013,New Jersey,"35,154",469.8,"7,483,180"
AIDS diagnoses,2013,New Jersey,758,10.1,"7,483,180"
AIDS deaths,2013,New Jersey,566,7.6,"7,483,180"
AIDS prevalence,2013,New Jersey,"18,880",252.3,"7,483,180"
Estimated HIV incidence,2013,New Jersey,"1,000",13.9,"7,483,180"
Estimated HIV prevalence (undiagnosed and diagnosed),2013,New Jersey,"37,600",501.9,"7,483,180"
HIV diagnoses,2012,New Jersey,"1,289",17.3,"7,440,901"
HIV deaths,2012,New Jersey,657,8.8,"7,440,901"
HIV prevalence,2012,New Jersey,"34,396",462.3,"7,440,901"
AIDS diagnoses,2012,New Jersey,800,10.8,"7,440,901"
AIDS deaths,2012,New Jersey,537,7.2,"7,440,901"
AIDS prevalence,2012,New Jersey,"18,472",248.2,"7,440,901"
Estimated HIV incidence,2012,New Jersey,"1,100",14.7,"7,440,901"
Estimated HIV prevalence (undiagnosed and diagnosed),2012,New Jersey,"37,200",500.6,"7,440,901"
HIV diagnoses,2011,New Jersey,"1,187",16.1,"7,394,876"
HIV deaths,2011,New Jersey,770,10.4,"7,394,876"
HIV prevalence,2011,New Jersey,"33,998",459.8,"7,394,876"
AIDS diagnoses,2011,New Jersey,823,11.1,"7,394,876"
AIDS deaths,2011,New Jersey,608,8.2,"7,394,876"
AIDS prevalence,2011,New Jersey,"18,349",248.1,"7,394,876"
Estimated HIV incidence,2011,New Jersey,"1,000",14.2,"7,394,876"
Estimated HIV prevalence (undiagnosed and diagnosed),2011,New Jersey,"36,800",497.7,"7,394,876"
HIV diagnoses,2010,New Jersey,"1,371",18.7,"7,348,900"
HIV deaths,2010,New Jersey,812,11,"7,348,900"
HIV prevalence,2010,New Jersey,"33,886",461.1,"7,348,900"
AIDS diagnoses,2010,New Jersey,938,12.8,"7,348,900"
AIDS deaths,2010,New Jersey,652,8.9,"7,348,900"
AIDS prevalence,2010,New Jersey,"18,304",249.1,"7,348,900"
Estimated HIV incidence,2010,New Jersey,"1,100",14.5,"7,348,900"
Estimated HIV prevalence (undiagnosed and diagnosed),2010,New Jersey,"36,500",497,"7,348,900"
HIV diagnoses,2016,Virginia,902,12.8,"7,071,402"
HIV deaths,2016,Virginia,309,4.4,"7,071,402"
HIV prevalence,2016,Virginia,"21,565",305,"7,071,402"
AIDS diagnoses,2016,Virginia,387,5.5,"7,071,402"
AIDS deaths,2016,Virginia,241,3.4,"7,071,402"
AIDS prevalence,2016,Virginia,"10,132",143.3,"7,071,402"
Estimated HIV incidence,2016,Virginia,760,10.7,"7,071,402"
Estimated HIV prevalence (undiagnosed and diagnosed),2016,Virginia,"24,800",350.5,"7,071,402"
HIV diagnoses,2015,Virginia,958,13.6,"7,024,377"
HIV deaths,2015,Virginia,280,4,"7,024,377"
HIV prevalence,2015,Virginia,"21,142",301,"7,024,377"
AIDS diagnoses,2015,Virginia,425,6.1,"7,024,377"
AIDS deaths,2015,Virginia,220,3.1,"7,024,377"
AIDS prevalence,2015,Virginia,"10,034",142.8,"7,024,377"
Estimated HIV incidence,2015,Virginia,970,13.8,"7,024,377"
Estimated HIV prevalence (undiagnosed and diagnosed),2015,Virginia,"24,300",346.5,"7,024,377"
HIV diagnoses,2014,Virginia,904,13,"6,974,763"
HIV deaths,2014,Virginia,311,4.5,"6,974,763"
HIV prevalence,2014,Virginia,"20,684",296.6,"6,974,763"
AIDS diagnoses,2014,Virginia,404,5.8,"6,974,763"
AIDS deaths,2014,Virginia,237,3.4,"6,974,763"
AIDS prevalence,2014,Virginia,"9,946",142.6,"6,974,763"
Estimated HIV incidence,2014,Virginia,850,12.2,"6,974,763"
Estimated HIV prevalence (undiagnosed and diagnosed),2014,Virginia,"23,600",339,"6,974,763"
HIV diagnoses,2013,Virginia,956,13.8,"6,917,436"
HIV deaths,2013,Virginia,323,4.7,"6,917,436"
HIV prevalence,2013,Virginia,"20,001",289.1,"6,917,436"
AIDS diagnoses,2013,Virginia,461,6.7,"6,917,436"
AIDS deaths,2013,Virginia,259,3.7,"6,917,436"
AIDS prevalence,2013,Virginia,"9,723",140.6,"6,917,436"
Estimated HIV incidence,2013,Virginia,920,13.3,"6,917,436"
Estimated HIV prevalence (undiagnosed and diagnosed),2013,Virginia,"23,100",334,"6,917,436"
HIV diagnoses,2012,Virginia,935,13.7,"6,845,408"
HIV deaths,2012,Virginia,336,4.9,"6,845,408"
HIV prevalence,2012,Virginia,"19,698",287.8,"6,845,408"
AIDS diagnoses,2012,Virginia,501,7.3,"6,845,408"
AIDS deaths,2012,Virginia,258,3.8,"6,845,408"
AIDS prevalence,2012,Virginia,"9,742",142.3,"6,845,408"
Estimated HIV incidence,2012,Virginia,860,12.5,"6,845,408"
Estimated HIV prevalence (undiagnosed and diagnosed),2012,Virginia,"22,500",328.8,"6,845,408"
HIV diagnoses,2011,Virginia,904,13.4,"6,769,424"
HIV deaths,2011,Virginia,315,4.7,"6,769,424"
HIV prevalence,2011,Virginia,"18,668",275.8,"6,769,424"
AIDS diagnoses,2011,Virginia,544,8,"6,769,424"
AIDS deaths,2011,Virginia,238,3.5,"6,769,424"
AIDS prevalence,2011,Virginia,"9,129",134.9,"6,769,424"
Estimated HIV incidence,2011,Virginia,890,13.1,"6,769,424"
Estimated HIV prevalence (undiagnosed and diagnosed),2011,Virginia,"22,000",324.8,"6,769,424"
HIV diagnoses,2010,Virginia,998,14.9,"6,693,811"
HIV deaths,2010,Virginia,321,4.8,"6,693,811"
HIV prevalence,2010,Virginia,"18,247",272.6,"6,693,811"
AIDS diagnoses,2010,Virginia,621,9.3,"6,693,811"
AIDS deaths,2010,Virginia,244,3.6,"6,693,811"
AIDS prevalence,2010,Virginia,"8,907",133.1,"6,693,811"
Estimated HIV incidence,2010,Virginia,890,13.4,"6,693,811"
Estimated HIV prevalence (undiagnosed and diagnosed),2010,Virginia,"21,400",319.9,"6,693,811"
HIV diagnoses,2016,Washington,428,7,"6,099,325"
HIV deaths,2016,Washington,171,2.8,"6,099,325"
HIV prevalence,2016,Washington,"12,769",209.4,"6,099,325"
AIDS diagnoses,2016,Washington,170,2.8,"6,099,325"
AIDS deaths,2016,Washington,134,2.2,"6,099,325"
AIDS prevalence,2016,Washington,"6,925",113.5,"6,099,325"
Estimated HIV incidence,2016,Washington,380,6.2,"6,099,325"
Estimated HIV prevalence (undiagnosed and diagnosed),2016,Washington,"14,700",241.4,"6,099,325"
HIV diagnoses,2015,Washington,453,7.6,"5,987,188"
HIV deaths,2015,Washington,148,2.5,"5,987,188"
HIV prevalence,2015,Washington,"12,408",207.2,"5,987,188"
AIDS diagnoses,2015,Washington,197,3.3,"5,987,188"
AIDS deaths,2015,Washington,119,2,"5,987,188"
AIDS prevalence,2015,Washington,"6,867",114.7,"5,987,188"
Estimated HIV incidence,2015,Washington,490,8.1,"5,987,188"
Estimated HIV prevalence (undiagnosed and diagnosed),2015,Washington,"14,500",242.5,"5,987,188"
HIV diagnoses,2014,Washington,439,7.4,"5,892,712"
HIV deaths,2014,Washington,173,2.9,"5,892,712"
HIV prevalence,2014,Washington,"11,972",203.2,"5,892,712"
AIDS diagnoses,2014,Washington,202,3.4,"5,892,712"
AIDS deaths,2014,Washington,141,2.4,"5,892,712"
AIDS prevalence,2014,Washington,"6,722",114.1,"5,892,712"
Estimated HIV incidence,2014,Washington,430,7.4,"5,892,712"
Estimated HIV prevalence (undiagnosed and diagnosed),2014,Washington,"14,200",240.6,"5,892,712"
HIV diagnoses,2016,Massachusetts,633,10.8,"5,857,301"
HIV deaths,2016,Massachusetts,286,4.9,"5,857,301"
HIV prevalence,2016,Massachusetts,"20,060",342.5,"5,857,301"
AIDS diagnoses,2016,Massachusetts,271,4.6,"5,857,301"
AIDS deaths,2016,Massachusetts,211,3.6,"5,857,301"
AIDS prevalence,2016,Massachusetts,"11,287",192.7,"5,857,301"
Estimated HIV incidence,2016,Massachusetts,670,11.5,"5,857,301"
Estimated HIV prevalence (undiagnosed and diagnosed),2016,Massachusetts,"23,000",391.9,"5,857,301"
HIV diagnoses,2015,Massachusetts,598,10.3,"5,821,324"
HIV deaths,2015,Massachusetts,300,5.2,"5,821,324"
HIV prevalence,2015,Massachusetts,"19,742",339.1,"5,821,324"
AIDS diagnoses,2015,Massachusetts,282,4.8,"5,821,324"
AIDS deaths,2015,Massachusetts,227,3.9,"5,821,324"
AIDS prevalence,2015,Massachusetts,"11,294",194,"5,821,324"
Estimated HIV incidence,2015,Massachusetts,660,11.3,"5,821,324"
Estimated HIV prevalence (undiagnosed and diagnosed),2015,Massachusetts,"22,600",387.6,"5,821,324"
HIV diagnoses,2013,Washington,442,7.6,"5,814,226"
HIV deaths,2013,Washington,165,2.8,"5,814,226"
HIV prevalence,2013,Washington,"11,498",197.8,"5,814,226"
AIDS diagnoses,2013,Washington,238,4.1,"5,814,226"
AIDS deaths,2013,Washington,134,2.3,"5,814,226"
AIDS prevalence,2013,Washington,"6,533",112.4,"5,814,226"
Estimated HIV incidence,2013,Washington,490,8.5,"5,814,226"
Estimated HIV prevalence (undiagnosed and diagnosed),2013,Washington,"13,900",239.4,"5,814,226"
HIV diagnoses,2014,Massachusetts,644,11.1,"5,781,103"
HIV deaths,2014,Massachusetts,265,4.6,"5,781,103"
HIV prevalence,2014,Massachusetts,"19,390",335.4,"5,781,103"
AIDS diagnoses,2014,Massachusetts,300,5.2,"5,781,103"
AIDS deaths,2014,Massachusetts,215,3.7,"5,781,103"
AIDS prevalence,2014,Massachusetts,"11,237",194.4,"5,781,103"
Estimated HIV incidence,2014,Massachusetts,710,12.4,"5,781,103"
Estimated HIV prevalence (undiagnosed and diagnosed),2014,Massachusetts,"22,200",384.1,"5,781,103"
HIV diagnoses,2012,Washington,499,8.7,"5,745,374"
HIV deaths,2012,Washington,151,2.6,"5,745,374"
HIV prevalence,2012,Washington,"11,076",192.8,"5,745,374"
AIDS diagnoses,2012,Washington,264,4.6,"5,745,374"
AIDS deaths,2012,Washington,132,2.3,"5,745,374"
AIDS prevalence,2012,Washington,"6,360",110.7,"5,745,374"
Estimated HIV incidence,2012,Washington,490,8.5,"5,745,374"
Estimated HIV prevalence (undiagnosed and diagnosed),2012,Washington,"13,600",236.6,"5,745,374"
HIV diagnoses,2016,Arizona,722,12.6,"5,739,578"
HIV deaths,2016,Arizona,210,3.7,"5,739,578"
HIV prevalence,2016,Arizona,"15,676",273.1,"5,739,578"
AIDS diagnoses,2016,Arizona,293,5.1,"5,739,578"
AIDS deaths,2016,Arizona,172,3,"5,739,578"
AIDS prevalence,2016,Arizona,"7,575",132,"5,739,578"
Estimated HIV incidence,2016,Arizona,790,13.8,"5,739,578"
Estimated HIV prevalence (undiagnosed and diagnosed),2016,Arizona,"18,500",322.3,"5,739,578"
HIV diagnoses,2013,Massachusetts,673,11.7,"5,729,059"
HIV deaths,2013,Massachusetts,271,4.7,"5,729,059"
HIV prevalence,2013,Massachusetts,"19,025",332.1,"5,729,059"
AIDS diagnoses,2013,Massachusetts,371,6.5,"5,729,059"
AIDS deaths,2013,Massachusetts,221,3.9,"5,729,059"
AIDS prevalence,2013,Massachusetts,"11,177",195.1,"5,729,059"
Estimated HIV incidence,2013,Massachusetts,760,13.2,"5,729,059"
Estimated HIV prevalence (undiagnosed and diagnosed),2013,Massachusetts,"21,800",379.6,"5,729,059"
HIV diagnoses,2011,Washington,481,8.5,"5,677,833"
HIV deaths,2011,Washington,170,3,"5,677,833"
HIV prevalence,2011,Washington,"10,687",188.2,"5,677,833"
AIDS diagnoses,2011,Washington,302,5.3,"5,677,833"
AIDS deaths,2011,Washington,140,2.5,"5,677,833"
AIDS prevalence,2011,Washington,"6,247",110,"5,677,833"
Estimated HIV incidence,2011,Washington,450,7.9,"5,677,833"
Estimated HIV prevalence (undiagnosed and diagnosed),2011,Washington,"13,300",233.4,"5,677,833"
HIV diagnoses,2012,Massachusetts,699,12.3,"5,673,581"
HIV deaths,2012,Massachusetts,270,4.8,"5,673,581"
HIV prevalence,2012,Massachusetts,"18,586",327.6,"5,673,581"
AIDS diagnoses,2012,Massachusetts,436,7.7,"5,673,581"
AIDS deaths,2012,Massachusetts,225,4,"5,673,581"
AIDS prevalence,2012,Massachusetts,"11,037",194.5,"5,673,581"
Estimated HIV incidence,2012,Massachusetts,740,12.9,"5,673,581"
Estimated HIV prevalence (undiagnosed and diagnosed),2012,Massachusetts,"21,300",374.7,"5,673,581"
HIV diagnoses,2015,Arizona,695,12.3,"5,638,026"
HIV deaths,2015,Arizona,214,3.8,"5,638,026"
HIV prevalence,2015,Arizona,"15,126",268.3,"5,638,026"
AIDS diagnoses,2015,Arizona,288,5.1,"5,638,026"
AIDS deaths,2015,Arizona,174,3.1,"5,638,026"
AIDS prevalence,2015,Arizona,"7,450",132.1,"5,638,026"
Estimated HIV incidence,2015,Arizona,680,12.1,"5,638,026"
Estimated HIV prevalence (undiagnosed and diagnosed),2015,Arizona,"17,900",317.8,"5,638,026"
HIV diagnoses,2011,Massachusetts,695,12.4,"5,622,306"
HIV deaths,2011,Massachusetts,266,4.7,"5,622,306"
HIV prevalence,2011,Massachusetts,"17,873",317.9,"5,622,306"
AIDS diagnoses,2011,Massachusetts,436,7.8,"5,622,306"
AIDS deaths,2011,Massachusetts,225,4,"5,622,306"
AIDS prevalence,2011,Massachusetts,"10,641",189.3,"5,622,306"
Estimated HIV incidence,2011,Massachusetts,730,13,"5,622,306"
Estimated HIV prevalence (undiagnosed and diagnosed),2011,Massachusetts,"20,800",369.8,"5,622,306"
HIV diagnoses,2010,Washington,539,9.6,"5,606,748"
HIV deaths,2010,Washington,156,2.8,"5,606,748"
HIV prevalence,2010,Washington,"10,494",187.2,"5,606,748"
AIDS diagnoses,2010,Washington,305,5.4,"5,606,748"
AIDS deaths,2010,Washington,130,2.3,"5,606,748"
